move,begin_state,action_id,end_state,remaining_pegs
1,111111011111111,4222,111111111101101,13
2,111111111101101,1232,101111011111101,12
3,101111011111101,2442,101111010110111,11
4,101111010110111,3133,101111010001111,10
5,101111010001111,1432,101011000011111,9
6,101011000011111,5131,101011000111010,8
7,101011000111010,4224,101011001110000,7
8,101011001110000,2141,101010001010100,6
9,101010001010100,1533,101000000011100,5
10,101000000011100,3331,101000000100100,4
11,101000000100100,4121,101001000000000,3
12,101001000000000,1131,001000000100000,2
